Time,DG1,DG2,DG3
22/11/2022 5:32:00,0.016072435,0.145529232,0.175744007
22/11/2022 5:33:00,0.059201306,0.145529232,0.160162869
22/11/2022 5:34:00,0.291900688,0.122192618,0.12380688
22/11/2022 5:35:00,0.149705258,0.180832441,0.130474484
22/11/2022 5:36:00,0.09854017,0.184411892,0.117033998
22/11/2022 5:37:00,0.148441922,0.183394205,0.119244835
22/11/2022 5:38:00,0.148126089,0.182902908,0.126544107
22/11/2022 5:39:00,0.128895315,0.183218742,0.118297333
22/11/2022 5:40:00,0.12500003,0.184025873,0.117174369
22/11/2022 5:41:00,0.107629167,0.18346439,0.112121027
22/11/2022 5:42:00,0.121280209,0.184131151,0.116226867
22/11/2022 5:43:00,0.108822317,0.184025873,0.111559544
22/11/2022 5:44:00,0.139317833,0.18399078,0.097136464
22/11/2022 5:45:00,0.116683071,0.18399078,0.107208055
22/11/2022 5:46:00,0.330116587,0.179428735,0.147634791
22/11/2022 5:47:00,0.143634229,0.179007623,0.140686446
22/11/2022 5:48:00,0.115138995,0.179288364,0.124403455
22/11/2022 5:49:00,0.109594356,0.17949892,0.119139557
22/11/2022 5:50:00,0.108085371,0.179218179,0.116823442
22/11/2022 5:51:00,0.102049435,0.179604198,0.11692872
22/11/2022 5:52:00,0.110822598,0.179183087,0.117174369
22/11/2022 5:53:00,0.131667634,0.17935855,0.120087059
22/11/2022 5:54:00,0.084046904,0.180235866,0.116051404
22/11/2022 5:55:00,0.082959032,0.179253272,0.114577512
22/11/2022 5:56:00,0.098364707,0.178867253,0.116191774
22/11/2022 5:57:00,0.130053372,0.187359675,0.120262522
22/11/2022 5:58:00,0.081660604,0.134475047,0.115700477
22/11/2022 5:59:00,0.2813378,0.322185648,0.122192618
22/11/2022 6:00:00,0.087205243,0.227295114,0.179920032
22/11/2022 6:01:00,0.124087621,0.227435484,0.218416673
22/11/2022 6:02:00,0.13412412,0.227435484,0.206625541
22/11/2022 6:03:00,0.134194305,0.22764604,0.206169337
22/11/2022 6:04:00,0.135633104,0.227961874,0.206695727
22/11/2022 6:05:00,0.13808959,0.228207523,0.206450078
22/11/2022 6:06:00,0.136405142,0.228909376,0.206204429
22/11/2022 6:07:00,0.141037373,0.227891689,0.206309707
22/11/2022 6:08:00,0.157601105,0.227821504,0.206976468
22/11/2022 6:09:00,0.156197399,0.228523357,0.209432953
22/11/2022 6:10:00,0.141949782,0.227996967,0.206730819
22/11/2022 6:11:00,0.138721258,0.227716226,0.205432391
22/11/2022 6:12:00,0.142511264,0.22764604,0.206520263
22/11/2022 6:13:00,0.159074996,0.228347893,0.207783599
22/11/2022 6:14:00,0.147108402,0.228067152,0.205642947
22/11/2022 6:15:00,0.159074996,0.227891689,0.210380455
22/11/2022 6:16:00,0.155565731,0.228523357,0.210766474
22/11/2022 6:17:00,0.198133119,0.227821504,0.215854909
22/11/2022 6:18:00,0.298322644,0.22817243,0.237682539
22/11/2022 6:19:00,0.295164305,0.228067152,0.239963562
22/11/2022 6:20:00,0.299585979,0.228207523,0.240384673
22/11/2022 6:21:00,0.302182836,0.227856596,0.240244303
22/11/2022 6:22:00,0.242665696,0.228663727,0.229821785
22/11/2022 6:23:00,0.2431219,0.228804098,0.227575855
22/11/2022 6:24:00,0.244420329,0.228874283,0.230979842
22/11/2022 6:25:00,0.211257771,0.229084839,0.225049184
22/11/2022 6:26:00,0.225505389,0.229330488,0.22473335
22/11/2022 6:27:00,0.229541044,0.22922521,0.229190117
22/11/2022 6:28:00,0.228137338,0.229014654,0.228663727
22/11/2022 6:29:00,0.212801848,0.229014654,0.226031778
22/11/2022 6:30:00,0.213398423,0.228874283,0.226417798
22/11/2022 6:31:00,0.145143213,0.229400673,0.212766756
22/11/2022 6:32:00,0.206906282,0.229190117,0.220381861
22/11/2022 6:33:00,0.227540762,0.229435766,0.22764604
22/11/2022 6:34:00,0.245262552,0.229155024,0.233015216
22/11/2022 6:35:00,0.246631166,0.229190117,0.231822066
22/11/2022 6:36:00,0.251368674,0.229119932,0.232208085
22/11/2022 6:37:00,0.283864471,0.229014654,0.224908813
22/11/2022 6:38:00,0.31071035,0.228909376,0.230032341
22/11/2022 6:39:00,0.297796254,0.229611229,0.238840597
22/11/2022 6:40:00,0.287057902,0.229295395,0.237928188
22/11/2022 6:41:00,0.282601135,0.22922521,0.236805223
22/11/2022 6:42:00,0.27975863,0.229155024,0.235787536
22/11/2022 6:43:00,0.281057058,0.229119932,0.235962999
22/11/2022 6:44:00,0.280881595,0.228944469,0.235892814
22/11/2022 6:45:00,0.155846472,0.228804098,0.213644072
22/11/2022 6:46:00,0.159987405,0.228804098,0.21083666
22/11/2022 6:47:00,0.152267022,0.228944469,0.209046934
22/11/2022 6:48:00,0.18690347,0.22869882,0.21441611
22/11/2022 6:49:00,0.197641822,0.228137338,0.219715101
22/11/2022 6:50:00,0.27579316,0.228593542,0.212275458
22/11/2022 6:51:00,0.216416391,0.228558449,0.216732225
22/11/2022 6:52:00,0.20925749,0.228418079,0.221118807
22/11/2022 6:53:00,0.267265646,0.22869882,0.231225491
22/11/2022 6:54:00,0.213538794,0.228418079,0.226628353
22/11/2022 6:55:00,0.190658384,0.229049747,0.22129427
22/11/2022 6:56:00,0.198624416,0.228663727,0.220171305
22/11/2022 6:57:00,0.215328519,0.228558449,0.22301381
22/11/2022 6:58:00,0.204800723,0.228769005,0.224452609
22/11/2022 6:59:00,0.225680852,0.228382986,0.227470577
22/11/2022 7:00:00,0.216205836,0.228488264,0.224242053
22/11/2022 7:01:00,0.175638729,0.228628635,0.21374935
22/11/2022 7:02:00,0.184587355,0.228067152,0.220346769
22/11/2022 7:03:00,0.164900377,0.228453171,0.215258334
22/11/2022 7:04:00,0.195466078,0.228628635,0.219925657
22/11/2022 7:05:00,0.206695727,0.228137338,0.220557324
22/11/2022 7:06:00,0.188412454,0.157741476,0.216381299
22/11/2022 7:07:00,0.032741445,0.176375674,0.177288083
22/11/2022 7:08:00,0,0.20739758,0.204449797
22/11/2022 7:09:00,0,0.206590449,0.167953438
22/11/2022 7:10:00,0,0.207046653,0.18862301
22/11/2022 7:11:00,0,0.205572762,0.164479265
22/11/2022 7:12:00,0,0.205397298,0.149354331
22/11/2022 7:13:00,0,0.205607854,0.118718445
22/11/2022 7:14:00,0,0.205607854,0.117209461
22/11/2022 7:15:00,0,0.20581841,0.114717883
22/11/2022 7:16:00,0,0.205467484,0.114366956
22/11/2022 7:17:00,0,0.206414985,0.115033717
22/11/2022 7:18:00,0,0.206906282,0.112085934
22/11/2022 7:19:00,0,0.206765912,0.121280209
22/11/2022 7:20:00,0,0.207081746,0.121911877
22/11/2022 7:21:00,0,0.206695727,0.133773193
22/11/2022 7:22:00,0,0.207257209,0.128825129
22/11/2022 7:23:00,0,0.20739758,0.124192899
22/11/2022 7:24:00,0,0.207502858,0.145037935
22/11/2022 7:25:00,0,0.207292302,0.154688415
22/11/2022 7:26:00,0,0.206660634,0.140019686
22/11/2022 7:27:00,0,0.207046653,0.134615417
22/11/2022 7:28:00,0,0.206801004,0.124964938
22/11/2022 7:29:00,0,0.206625541,0.134229398
22/11/2022 7:30:00,0,0.206976468,0.129246241
22/11/2022 7:31:00,0,0.207046653,0.123245398
22/11/2022 7:32:00,0,0.207187024,0.136826254
22/11/2022 7:33:00,0,0.206976468,0.145002842
22/11/2022 7:34:00,0,0.206625541,0.143037654
22/11/2022 7:35:00,0,0.20739758,0.144406267
22/11/2022 7:36:00,0,0.206941375,0.145248491
22/11/2022 7:37:00,0,0.206590449,0.146792568
22/11/2022 7:38:00,0,0.206660634,0.145388862
22/11/2022 7:39:00,0,0.206274615,0.144476453
22/11/2022 7:40:00,0,0.205888596,0.144195711
22/11/2022 7:41:00,0,0.205958781,0.143002561
22/11/2022 7:42:00,0,0.20581841,0.143318395
22/11/2022 7:43:00,0,0.205993873,0.146757475
22/11/2022 7:44:00,0,0.205642947,0.142019967
22/11/2022 7:45:00,0,0.205502576,0.13307134
22/11/2022 7:46:00,0,0.20529202,0.124122714
22/11/2022 7:47:00,0,0.205713132,0.125596605
22/11/2022 7:48:00,0,0.204941094,0.128368925
22/11/2022 7:49:00,0,0.204695445,0.138791443
22/11/2022 7:50:00,0,0.20567804,0.108050279
22/11/2022 7:51:00,0,0.205713132,0.10766426
22/11/2022 7:52:00,0,0.206099151,0.129456797
22/11/2022 7:53:00,0,0.20687119,0.135282178
22/11/2022 7:54:00,0,0.206485171,0.134089027
22/11/2022 7:55:00,0,0.206906282,0.134475047
22/11/2022 7:56:00,0,0.206695727,0.135527826
22/11/2022 7:57:00,0,0.206765912,0.135036529
22/11/2022 7:58:00,0,0.206765912,0.134580324
22/11/2022 7:59:00,0,0.206520263,0.136440235
22/11/2022 8:00:00,0,0.206555356,0.137949219
22/11/2022 8:01:00,0,0.206590449,0.137142088
22/11/2022 8:02:00,0,0.206274615,0.136545513
22/11/2022 8:03:00,0,0.206765912,0.139458203
22/11/2022 8:04:00,0,0.206309707,0.136720976
22/11/2022 8:05:00,0,0.20701156,0.136861347
22/11/2022 8:06:00,0,0.206765912,0.172304927
22/11/2022 8:07:00,0,0.206274615,0.193606167
22/11/2022 8:08:00,0,0.206134244,0.173638447
22/11/2022 8:09:00,0,0.206099151,0.135247085
22/11/2022 8:10:00,0,0.206660634,0.136475328
22/11/2022 8:11:00,0,0.206064059,0.135773475
22/11/2022 8:12:00,0,0.206625541,0.13637005
22/11/2022 8:13:00,0,0.207222116,0.138545794
22/11/2022 8:14:00,0,0.206801004,0.14272182
22/11/2022 8:15:00,0,0.206590449,0.162443891
22/11/2022 8:16:00,0,0.205397298,0.162478984
22/11/2022 8:17:00,0,0.205502576,0.150231648
22/11/2022 8:18:00,0,0.205186742,0.121350394
22/11/2022 8:19:00,0,0.205783318,0.10661148
22/11/2022 8:20:00,0,0.205362206,0.107839723
22/11/2022 8:21:00,0,0.205221835,0.107208055
22/11/2022 8:22:00,0,0.205116557,0.105628886
22/11/2022 8:23:00,0,0.205397298,0.105769256
22/11/2022 8:24:00,0,0.205853503,0.107699352
22/11/2022 8:25:00,0,0.205537669,0.127561794
22/11/2022 8:26:00,0,0.205221835,0.129351519
22/11/2022 8:27:00,0,0.204941094,0.134089027
22/11/2022 8:28:00,0,0.204660353,0.109418892
22/11/2022 8:29:00,0,0.204379611,0.109453985
22/11/2022 8:30:00,0,0.20409887,0.106927314
22/11/2022 8:31:00,0,0.205327113,0.108681947
22/11/2022 8:32:00,0,0.204484889,0.108752132
22/11/2022 8:33:00,0,0.204379611,0.107909908
22/11/2022 8:34:00,0,0.205256928,0.107909908
22/11/2022 8:35:00,0,0.205221835,0.117384924
22/11/2022 8:36:00,0,0.204976187,0.130895596
22/11/2022 8:37:00,0,0.204730538,0.131597449
22/11/2022 8:38:00,0,0.205046372,0.119385206
22/11/2022 8:39:00,0,0.204239241,0.135703289
22/11/2022 8:40:00,0,0.205327113,0.108646854
22/11/2022 8:41:00,0,0.204906001,0.114928439
22/11/2022 8:42:00,0,0.204835816,0.126017717
22/11/2022 8:43:00,0,0.205221835,0.108681947
22/11/2022 8:44:00,0,0.20529202,0.109067966
22/11/2022 8:45:00,0,0.205537669,0.121210024
22/11/2022 8:46:00,0,0.20529202,0.14100228
22/11/2022 8:47:00,0,0.20529202,0.143950063
22/11/2022 8:48:00,0,0.204976187,0.14324821
22/11/2022 8:49:00,0,0.205221835,0.119209742
22/11/2022 8:50:00,0,0.205327113,0.120122151
22/11/2022 8:51:00,0,0.205572762,0.121210024
22/11/2022 8:52:00,0,0.205221835,0.119946688
22/11/2022 8:53:00,0,0.205853503,0.121139838
22/11/2022 8:54:00,0,0.205432391,0.145318676
22/11/2022 8:55:00,0,0.205607854,0.122719008
22/11/2022 8:56:00,0,0.206099151,0.118999187
22/11/2022 8:57:00,0,0.20567804,0.137212273
22/11/2022 8:58:00,0,0.20515165,0.152126651
22/11/2022 8:59:00,0,0.204870909,0.121174931
22/11/2022 9:00:00,0,0.205046372,0.107102777
22/11/2022 9:01:00,0,0.20462526,0.129597168
22/11/2022 9:02:00,0,0.205011279,0.113279084
22/11/2022 9:03:00,0,0.204800723,0.10727824
22/11/2022 9:04:00,0,0.205116557,0.10833102
22/11/2022 9:05:00,0,0.205397298,0.108717039
22/11/2022 9:06:00,0,0.205327113,0.131316708
22/11/2022 9:07:00,0,0.20462526,0.130193743
22/11/2022 9:08:00,0,0.204800723,0.132194024
22/11/2022 9:09:00,0,0.205853503,0.131667634
22/11/2022 9:10:00,0,0.205116557,0.114261678
22/11/2022 9:11:00,0,0.205958781,0.127807442
22/11/2022 9:12:00,0,0.20581841,0.13240458
22/11/2022 9:13:00,0,0.206450078,0.137703571
22/11/2022 9:14:00,0,0.205327113,0.143072747
22/11/2022 9:15:00,0,0.205327113,0.159320645
22/11/2022 9:16:00,0,0.206169337,0.136650791
22/11/2022 9:17:00,0,0.206941375,0.145002842
22/11/2022 9:18:00,0,0.206169337,0.157916939
22/11/2022 9:19:00,0,0.205502576,0.18795625
22/11/2022 9:20:00,0,0.20515165,0.149880721
22/11/2022 9:21:00,0,0.20567804,0.139247647
22/11/2022 9:22:00,0,0.205923688,0.137422829
22/11/2022 9:23:00,0,0.205572762,0.159004811
22/11/2022 9:24:00,0,0.206309707,0.141879596
22/11/2022 9:25:00,0,0.206064059,0.143423673
22/11/2022 9:26:00,0,0.206836097,0.148582293
22/11/2022 9:27:00,0,0.206730819,0.165707508
22/11/2022 9:28:00,0,0.2063448,0.178025029
22/11/2022 9:29:00,0,0.206730819,0.173252428
22/11/2022 9:30:00,0,0.206555356,0.174094652
22/11/2022 9:31:00,0,0.20687119,0.151179149
22/11/2022 9:32:00,0,0.205958781,0.165707508
22/11/2022 9:33:00,0,0.205888596,0.162478984
22/11/2022 9:34:00,0,0.204484889,0.148055903
22/11/2022 9:35:00,0,0.205362206,0.143142932
22/11/2022 9:36:00,0,0.20529202,0.120402893
22/11/2022 9:37:00,0,0.205607854,0.149319239
22/11/2022 9:38:00,0,0.205783318,0.126754663
22/11/2022 9:39:00,0,0.206801004,0.142967469
22/11/2022 9:40:00,0,0.205221835,0.163742319
22/11/2022 9:41:00,0,0.205362206,0.146090715
22/11/2022 9:42:00,0,0.205046372,0.119560669
22/11/2022 9:43:00,0,0.206099151,0.121771506
22/11/2022 9:44:00,0,0.204941094,0.137247366
22/11/2022 9:45:00,0,0.204976187,0.130930689
22/11/2022 9:46:00,0,0.205116557,0.12103456
22/11/2022 9:47:00,0,0.204941094,0.11970104
22/11/2022 9:48:00,0,0.206099151,0.11984141
22/11/2022 9:49:00,0,0.206239522,0.132229117
22/11/2022 9:50:00,0,0.206379893,0.141493577
22/11/2022 9:51:00,0,0.205327113,0.144862472
22/11/2022 9:52:00,0,0.204870909,0.152758319
22/11/2022 9:53:00,0,0.204870909,0.122648822
22/11/2022 9:54:00,0,0.205888596,0.118297333
22/11/2022 9:55:00,0,0.205607854,0.120157244
